review_id,event_id,visual_label,visible_reason,reviewed_before_numeric_unblinding
review_001,block_07_trial_2_switch_day_361,clear_success,切换后新的真实参数候选清楚接管；用户未报告例外,True
review_002,block_02_trial_3_switch_day_361,clear_success,切换后新的真实参数候选清楚接管；用户未报告例外,True
review_003,block_02_trial_1_switch_day_361,clear_success,切换后新的真实参数候选清楚接管；用户未报告例外,True
review_004,block_03_trial_2_switch_day_361,clear_success,切换后新的真实参数候选清楚接管；用户未报告例外,True
review_005,block_07_trial_1_switch_day_361,clear_success,有波动但最终由新的真实参数候选接管,True
review_006,block_06_trial_3_switch_day_361,clear_success,切换后新的真实参数候选清楚接管；用户未报告例外,True
review_007,block_02_trial_2_switch_day_181,clear_success,切换后新的真实参数候选清楚接管；用户未报告例外,True
review_008,block_05_trial_2_switch_day_181,clear_success,切换后新的真实参数候选清楚接管；用户未报告例外,True
review_009,block_08_trial_2_switch_day_361,clear_success,切换后新的真实参数候选清楚接管；用户未报告例外,True
review_010,block_05_trial_1_switch_day_361,clear_success,切换后新的真实参数候选清楚接管；用户未报告例外,True
review_011,block_02_trial_2_switch_day_361,clear_success,切换后新的真实参数候选清楚接管；用户未报告例外,True
review_012,block_04_trial_3_switch_day_181,clear_success,切换后新的真实参数候选清楚接管；用户未报告例外,True
review_013,block_05_trial_2_switch_day_361,clear_success,切换后新的真实参数候选清楚接管；用户未报告例外,True
review_014,block_08_trial_3_switch_day_361,clear_success,切换后新的真实参数候选清楚接管；用户未报告例外,True
review_015,block_08_trial_2_switch_day_181,clear_success,切换后新的真实参数候选清楚接管；用户未报告例外,True
review_016,block_06_trial_3_switch_day_181,clear_success,切换后新的真实参数候选清楚接管；用户未报告例外,True
review_017,block_03_trial_1_switch_day_181,clear_success,切换后新的真实参数候选清楚接管；用户未报告例外,True
review_018,block_04_trial_3_switch_day_361,clear_success,切换后新的真实参数候选清楚接管；用户未报告例外,True
review_019,block_06_trial_1_switch_day_181,clear_success,切换后新的真实参数候选清楚接管；用户未报告例外,True
review_020,block_08_trial_1_switch_day_361,clear_success,切换后新的真实参数候选清楚接管；用户未报告例外,True
review_021,block_01_trial_2_switch_day_361,clear_success,切换后新的真实参数候选清楚接管；用户未报告例外,True
review_022,block_02_trial_3_switch_day_181,clear_success,切换后新的真实参数候选清楚接管；用户未报告例外,True
review_023,block_08_trial_1_switch_day_181,clear_success,切换后新的真实参数候选清楚接管；用户未报告例外,True
review_024,block_05_trial_3_switch_day_181,clear_success,切换后新的真实参数候选清楚接管；用户未报告例外,True
review_025,block_03_trial_3_switch_day_361,clear_success,切换后新的真实参数候选清楚接管；用户未报告例外,True
review_026,block_07_trial_2_switch_day_181,clear_success,切换后新的真实参数候选清楚接管；用户未报告例外,True
review_027,block_05_trial_1_switch_day_181,clear_success,切换后新的真实参数候选清楚接管；用户未报告例外,True
review_028,block_01_trial_1_switch_day_181,clear_success,切换后新的真实参数候选清楚接管；用户未报告例外,True
review_029,block_04_trial_2_switch_day_181,clear_success,切换后新的真实参数候选清楚接管；用户未报告例外,True
review_030,block_01_trial_3_switch_day_361,clear_success,切换后新的真实参数候选清楚接管；用户未报告例外,True
review_031,block_01_trial_2_switch_day_181,clear_success,切换后新的真实参数候选清楚接管；用户未报告例外,True
review_032,block_06_trial_2_switch_day_361,clear_success,切换后新的真实参数候选清楚接管；用户未报告例外,True
review_033,block_05_trial_3_switch_day_361,clear_success,切换后新的真实参数候选清楚接管；用户未报告例外,True
review_034,block_06_trial_2_switch_day_181,clear_success,切换后新的真实参数候选清楚接管；用户未报告例外,True
review_035,block_07_trial_1_switch_day_181,clear_success,切换后新的真实参数候选清楚接管；用户未报告例外,True
review_036,block_03_trial_2_switch_day_181,clear_success,切换后新的真实参数候选清楚接管；用户未报告例外,True
review_037,block_04_trial_1_switch_day_361,clear_success,切换后新的真实参数候选清楚接管；用户未报告例外,True
review_038,block_07_trial_3_switch_day_361,clear_success,切换后新的真实参数候选清楚接管；用户未报告例外,True
review_039,block_03_trial_1_switch_day_361,clear_success,切换后新的真实参数候选清楚接管；用户未报告例外,True
review_040,block_01_trial_1_switch_day_361,clear_success,切换后新的真实参数候选清楚接管；用户未报告例外,True
review_041,block_07_trial_3_switch_day_181,clear_success,切换后新的真实参数候选清楚接管；用户未报告例外,True
review_042,block_08_trial_3_switch_day_181,clear_success,切换后新的真实参数候选清楚接管；用户未报告例外,True
review_043,block_03_trial_3_switch_day_181,clear_success,切换后新的真实参数候选清楚接管；用户未报告例外,True
review_044,block_06_trial_1_switch_day_361,clear_success,切换后新的真实参数候选清楚接管；用户未报告例外,True
review_045,block_02_trial_1_switch_day_181,clear_success,切换后新的真实参数候选清楚接管；用户未报告例外,True
review_046,block_04_trial_2_switch_day_361,clear_success,切换后新的真实参数候选清楚接管；用户未报告例外,True
review_047,block_01_trial_3_switch_day_181,clear_success,切换后新的真实参数候选清楚接管；用户未报告例外,True
review_048,block_04_trial_1_switch_day_181,clear_success,切换后新的真实参数候选清楚接管；用户未报告例外,True
