basin_id,date,streamflow_mm_day,quality_flag
12375900,2006-10-01,0.99253549695740373,A
12375900,2006-10-02,1.0049421906693712,A
12375900,2006-10-03,0.98012880324543628,A
12375900,2006-10-04,0.98012880324543628,A
12375900,2006-10-05,0.98012880324543628,A
12375900,2006-10-06,0.96772210953346871,A
12375900,2006-10-07,0.90568864097363089,A
12375900,2006-10-08,0.89328194726166332,A
12375900,2006-10-09,0.91809533468559856,A
12375900,2006-10-10,0.90568864097363089,A
12375900,2006-10-11,0.89328194726166332,A
12375900,2006-10-12,0.89328194726166332,A
12375900,2006-10-13,0.8684685598377283,A
12375900,2006-10-14,0.88087525354969576,A
12375900,2006-10-15,0.90568864097363089,A
12375900,2006-10-16,1.0297555780933065,A
12375900,2006-10-17,1.0173488843813387,A
12375900,2006-10-18,0.95531541582150115,A
12375900,2006-10-19,1.0049421906693712,A
12375900,2006-10-20,1.203449290060852,A
12375900,2006-10-21,1.203449290060852,A
12375900,2006-10-22,1.0917890466531441,A
12375900,2006-10-23,1.0173488843813387,A
12375900,2006-10-24,0.98012880324543628,A
12375900,2006-10-25,0.94290872210953347,A
12375900,2006-10-26,0.89328194726166332,A
12375900,2006-10-27,0.89328194726166332,A
12375900,2006-10-28,0.88087525354969576,A
12375900,2006-10-29,0.88087525354969576,A
12375900,2006-10-30,0.8684685598377283,A:e
12375900,2006-10-31,0.80643509127789059,A:e
12375900,2006-11-01,0.84365517241379318,A:e
12375900,2006-11-02,0.89328194726166332,A
12375900,2006-11-03,0.95531541582150115,A
12375900,2006-11-04,0.95531541582150115,A
12375900,2006-11-05,1.0297555780933065,A
12375900,2006-11-06,1.1166024340770793,A
12375900,2006-11-07,1.9850709939148075,A
12375900,2006-11-08,2.3572718052738337,A
12375900,2006-11-09,1.8610040567951318,A
12375900,2006-11-10,1.4888032454361055,A
12375900,2006-11-11,1.3647363083164301,A
12375900,2006-11-12,1.3647363083164301,A
12375900,2006-11-13,1.203449290060852,A
12375900,2006-11-14,1.1290091277890468,A
12375900,2006-11-15,1.0793823529411763,A
12375900,2006-11-16,1.0421622718052741,A
12375900,2006-11-17,0.99253549695740373,A
12375900,2006-11-18,0.95531541582150115,A
12375900,2006-11-19,0.93050202839756591,A
12375900,2006-11-20,0.96772210953346871,A
12375900,2006-11-21,1.0917890466531441,A
12375900,2006-11-22,1.1166024340770793,A
12375900,2006-11-23,1.1041957403651117,A
12375900,2006-11-24,1.0545689655172417,A
12375900,2006-11-25,1.0297555780933065,A
12375900,2006-11-26,1.0049421906693712,A
12375900,2006-11-27,1.0297555780933065,A
12375900,2006-11-28,0.99253549695740373,A
12375900,2006-11-29,0.93050202839756591,A:e
12375900,2006-11-30,0.89328194726166332,A:e
12375900,2006-12-01,0.89328194726166332,A
12375900,2006-12-02,0.90568864097363089,A
