### channel=id33-transformer-recipe-repair seq=29
### host=login4
### started=2026-09-06T12:14:27+0800
### ---------- output ----------
=== STAMP ===
2026-09-06T12:14:28+0800
3.11.13 | packaged by conda-forge | (main, Jun  4 2025, 14:48:23) [GCC 13.3.0]
=== A. ID30 BASELINE PATHS (read-only) ===
=== B. WIDE PER-BASIN TABLE ===
# T1 /data1/home/sunyiq/id33_transformer_recipe_repair_20260904/repo/results/33_transformer_recipe_repair/T1/transformer_recipe_repair_T1_2026_0905_2127_ep30/validation/model_epoch030/validation_metrics.csv 531
# T2 /data1/home/sunyiq/id33_transformer_recipe_repair_20260904/repo/results/33_transformer_recipe_repair/T2/transformer_recipe_repair_T2_2026_0905_2127_ep30/validation/model_epoch030/validation_metrics.csv 531
# T3 /data1/home/sunyiq/id33_transformer_recipe_repair_20260904/repo/results/33_transformer_recipe_repair/T3/transformer_recipe_repair_T3_2026_0905_2127_ep30/validation/model_epoch030/validation_metrics.csv 531
# T4 /data1/home/sunyiq/id33_transformer_recipe_repair_20260904/repo/results/33_transformer_recipe_repair/T4/transformer_recipe_repair_T4_2026_0905_2132_ep30/validation/model_epoch030/validation_metrics.csv 531
# T5 /data1/home/sunyiq/id33_transformer_recipe_repair_20260904/repo/results/33_transformer_recipe_repair/T5/transformer_recipe_repair_T5_2026_0905_2132_ep30/validation/model_epoch030/validation_metrics.csv 531
# L33 /data1/home/sunyiq/id33_transformer_recipe_repair_20260904/repo/results/33_transformer_recipe_repair/L33/transformer_recipe_repair_L33_2026_0905_2132_ep30/validation/model_epoch030/validation_metrics.csv 531
# D01 /data1/home/sunyiq/id30_modern_transformer_moe_20260827/repo/results/30_modern_transformer_moe/D01/modern_transformer_moe_D01_dense_d128_l4_s100_2026_0827_1955_ep30/validation/model_epoch030/validation_metrics.csv 531
# B01 /data1/home/sunyiq/id30_modern_transformer_moe_20260827/repo/results/30_modern_transformer_moe/B01/modern_transformer_moe_B01_lstm_s100_2026_0827_1820_ep30/validation/model_epoch030/validation_metrics.csv 531
basin,T1,T2,T3,T4,T5,L33,D01,B01
01022500,0.7827390432357788,0.8008160591125488,0.8005174398422241,0.7616031169891357,0.802838921546936,0.7495423555374146,0.7328488826751709,0.840348482131958
01031500,0.8144873976707458,0.8693517446517944,0.8197689056396484,0.813647985458374,0.8335262537002563,0.8509323596954346,0.8395349979400635,0.832870602607727
01047000,0.8079271912574768,0.8480067253112793,0.8667242527008057,0.7935355305671692,0.7723968029022217,0.7619146108627319,0.8157380819320679,0.8854019045829773
01052500,0.8536216616630554,0.8672588467597961,0.8838414549827576,0.8621917366981506,0.8365750908851624,0.795219361782074,0.8185400366783142,0.8684292435646057
01054200,0.6322144865989685,0.5243843197822571,0.5987863540649414,0.6567914485931396,0.5166957378387451,0.574695348739624,0.608472466468811,0.6223454475402832
01055000,0.6918699145317078,0.6048285365104675,0.7379231452941895,0.5830686092376709,0.5455436706542969,0.5686900019645691,0.6208741664886475,0.7121614217758179
01057000,0.7877325415611267,0.7769771814346313,0.7056306600570679,0.7595807909965515,0.8267515897750854,0.7750352621078491,0.7529221773147583,0.851912796497345
01073000,0.6510680317878723,0.6545351147651672,0.6103389263153076,0.7535485029220581,0.6811718940734863,0.6122745275497437,0.7000120282173157,0.7948282957077026
01078000,0.8499447107315063,0.8774877786636353,0.8060906529426575,0.8257836103439331,0.8531931638717651,0.7519690990447998,0.8353168964385986,0.842592716217041
01123000,0.736851155757904,0.758514404296875,0.7980080246925354,0.799052357673645,0.7639643549919128,0.778199315071106,0.766790509223938,0.8117185831069946
01134500,0.7713446617126465,0.7373852729797363,0.7931048274040222,0.8339093923568726,0.806063711643219,0.8114310503005981,0.7368023991584778,0.8077681064605713
01137500,0.765967845916748,0.7319920063018799,0.7891180515289307,0.7758985757827759,0.7130554914474487,0.7383191585540771,0.7521820068359375,0.8001182675361633
01139000,0.7985872626304626,0.7724102735519409,0.8121445178985596,0.7870286703109741,0.8022236227989197,0.6875519752502441,0.7777926921844482,0.8165569305419922
01139800,0.8423678278923035,0.7638678550720215,0.8172060251235962,0.7512657642364502,0.7693250179290771,0.7327606081962585,0.7632079720497131,0.5614556670188904
