station_id,slp_dg_uav,ele_mt_sav,ele_mt_smn,ele_mt_smx,urb_pc_use,dor_pc_pva,cly_pc_uav,snd_pc_uav,kar_pc_use,swc_pc_syr,gwt_cm_sav,ari_ix_uav,for_pc_use,hand_p50_m,gageii_Hydro_STRAHLER_MAX,gageii_Hydro_MAINSTEM_SINUOUSITY,gageii_Hydro_STREAMS_KM_SQ_KM
1019000,30.01677676,127.9008992,82.73100761,289.5063794,0.0,450.1762185,7.003914577,60.03355352,0.0,87.0,164.9078166,131.0732585,58.03243507,6.799991607666016,5,1.60220205982678,0.661644622716693
1021480,3.012507198,90.0,47.0,176.0,0.0,0.0,1.338892088,9.87432915,0.0,88.0,131.0,23.26325003,15.89934355,8.299995422363281,3,1.2939543158151,0.762407365586683
1022500,20.49517212,100.4425836,37.54150149,330.2299425,0.0,0.0,6.521191128,55.89592395,0.0,88.00010827,153.8243434,132.28702,88.50187959,7.900001525878906,5,1.48500142620157,0.830011161076191
1038000,18.83867908,113.0441108,41.9383434,264.8646408,0.0,1.209490754,3.89765774,40.27579665,0.0,86.62981227,223.9080477,82.50042216,63.66174309,13.0,4,1.19915161264751,0.660301441087071
1042500,40.97782855,428.438915,328.0669718,831.591183,0.0,166.2832253,6.996214631,56.96917628,15.99134773,90.58589621,156.4587678,131.9286188,85.95349403,15.600006103515623,5,3.30578656894344,0.478248988934041
1046500,48.19929623,446.8617495,305.7529662,889.2723849,0.0,174.5867395,6.885613748,57.0522282,27.54245499,90.73855367,180.6993149,131.8103203,88.52931961,20.0,6,2.97103227639902,0.447952656845738
1047150,49.90921444,427.1884293,277.4195269,874.6103361,0.0,168.9548528,7.985474311,57.89468875,27.94916009,90.53083945,186.9516186,133.7566947,90.83477029,20.70001220703125,6,2.71806592309248,0.449622080976465
1049500,29.55335549,87.88783488,36.50774101,199.6775203,0.98511185,102.6740821,5.910671098,60.09182283,60.09182283,86.38808992,235.6858945,124.1240931,89.64517832,12.300003051757812,4,2.59295151443516,0.595044633607493
1053500,64.35650417,596.6359358,441.4474065,1049.872144,0.0,130.6058144,6.930700449,58.41590379,8.910900578,92.73530951,230.8860862,142.5744092,88.11890571,36.5,5,1.58513559412074,0.366238767793388
1053600,64.86673151,590.3416981,433.7120866,1036.82269,0.0,139.5325898,6.879804857,57.00409739,7.862634123,92.60631852,233.1542465,141.5274142,88.45463388,35.800018310546875,5,1.55835017138352,0.364692482093464
1054000,64.94938071,577.8268791,419.3804912,1031.627815,0.0,176.074053,6.888570681,57.0767285,6.888570681,92.27923489,230.7048749,140.7236582,89.55141886,36.5999755859375,5,1.5415681052714,0.372743312357943
1054500,77.97947835,544.4929247,342.4745506,1068.953122,0.0,142.9755484,6.998158314,57.98474031,4.99868451,91.77203688,259.1020579,143.9621139,92.97553188,41.0,5,1.41815726184541,0.393117529320032
1059000,67.33624533,426.363223,255.6645139,870.0986609,0.990238902,104.2943122,7.921911216,56.44361741,14.85358353,90.32991184,253.2966653,137.6432074,93.08245679,31.5,5,2.17733956978687,0.397312605989408
1064500,97.12346816,522.3133154,195.8686674,1267.58962,0.0,0.0,6.60062405,56.57677757,0.0,92.40156537,346.1432362,151.8143531,91.4657904,50.60003662109375,5,1.8051889976624,0.488758236419091
1064801,43.16762748,418.0,140.0,1195.0,0.0,0.0,4.211475852,30.00676544,0.0,91.0,283.0,77.38586878,52.11701367,26.89999389648437,4,1.27070482157408,1.02050919173727
1066000,71.47663543,330.0558652,139.195154,894.3801282,0.0,17.83180693,6.853923945,57.76878754,0.0,89.33174333,285.0528711,139.0367429,93.99667125,25.09999084472656,6,2.18511664764617,0.663853479355552
