block_id,truth_trial,day_index,day_number,stage,true_process_id,candidate_process_id,posterior_probability
matched_block_01,1,0,1,1,lower_groundwater_medium,lower_groundwater_low,0.33333333340797305
matched_block_01,1,0,1,1,lower_groundwater_medium,lower_groundwater_medium,0.33333333339698645
matched_block_01,1,0,1,1,lower_groundwater_medium,lower_groundwater_high,0.3333333331950406
matched_block_01,1,1,2,1,lower_groundwater_medium,lower_groundwater_low,0.37572875224195595
matched_block_01,1,1,2,1,lower_groundwater_medium,lower_groundwater_medium,0.364755481903584
matched_block_01,1,1,2,1,lower_groundwater_medium,lower_groundwater_high,0.2595157658544601
matched_block_01,1,2,3,1,lower_groundwater_medium,lower_groundwater_low,0.4383688416895528
matched_block_01,1,2,3,1,lower_groundwater_medium,lower_groundwater_medium,0.39232585554513916
matched_block_01,1,2,3,1,lower_groundwater_medium,lower_groundwater_high,0.16930530276530814
matched_block_01,1,3,4,1,lower_groundwater_medium,lower_groundwater_low,0.5046111681878162
matched_block_01,1,3,4,1,lower_groundwater_medium,lower_groundwater_medium,0.3844310679957408
matched_block_01,1,3,4,1,lower_groundwater_medium,lower_groundwater_high,0.11095776381644307
matched_block_01,1,4,5,1,lower_groundwater_medium,lower_groundwater_low,0.5225323185304386
matched_block_01,1,4,5,1,lower_groundwater_medium,lower_groundwater_medium,0.3873316510268217
matched_block_01,1,4,5,1,lower_groundwater_medium,lower_groundwater_high,0.09013603044273977
matched_block_01,1,5,6,1,lower_groundwater_medium,lower_groundwater_low,0.5442185137018284
matched_block_01,1,5,6,1,lower_groundwater_medium,lower_groundwater_medium,0.3912520601604295
matched_block_01,1,5,6,1,lower_groundwater_medium,lower_groundwater_high,0.06452942613774214
matched_block_01,1,6,7,1,lower_groundwater_medium,lower_groundwater_low,0.5645869039915303
matched_block_01,1,6,7,1,lower_groundwater_medium,lower_groundwater_medium,0.38834475788594025
matched_block_01,1,6,7,1,lower_groundwater_medium,lower_groundwater_high,0.0470683381225295
matched_block_01,1,7,8,1,lower_groundwater_medium,lower_groundwater_low,0.6243872193766068
matched_block_01,1,7,8,1,lower_groundwater_medium,lower_groundwater_medium,0.34062562472431995
matched_block_01,1,7,8,1,lower_groundwater_medium,lower_groundwater_high,0.034987155899073266
matched_block_01,1,8,9,1,lower_groundwater_medium,lower_groundwater_low,0.6567279376741617
matched_block_01,1,8,9,1,lower_groundwater_medium,lower_groundwater_medium,0.3167357276999471
matched_block_01,1,8,9,1,lower_groundwater_medium,lower_groundwater_high,0.026536334625891125
matched_block_01,1,9,10,1,lower_groundwater_medium,lower_groundwater_low,0.6513387846617698
matched_block_01,1,9,10,1,lower_groundwater_medium,lower_groundwater_medium,0.320362415078565
matched_block_01,1,9,10,1,lower_groundwater_medium,lower_groundwater_high,0.028298800259665215
matched_block_01,1,10,11,1,lower_groundwater_medium,lower_groundwater_low,0.7021482970455923
matched_block_01,1,10,11,1,lower_groundwater_medium,lower_groundwater_medium,0.2752481246420391
matched_block_01,1,10,11,1,lower_groundwater_medium,lower_groundwater_high,0.02260357831236856
matched_block_01,1,11,12,1,lower_groundwater_medium,lower_groundwater_low,0.6609345461192015
matched_block_01,1,11,12,1,lower_groundwater_medium,lower_groundwater_medium,0.2965143636406782
matched_block_01,1,11,12,1,lower_groundwater_medium,lower_groundwater_high,0.04255109024012033
matched_block_01,1,12,13,1,lower_groundwater_medium,lower_groundwater_low,0.6406466740001496
matched_block_01,1,12,13,1,lower_groundwater_medium,lower_groundwater_medium,0.32114460246083576
matched_block_01,1,12,13,1,lower_groundwater_medium,lower_groundwater_high,0.03820872353901465
matched_block_01,1,13,14,1,lower_groundwater_medium,lower_groundwater_low,0.4492443409075399
matched_block_01,1,13,14,1,lower_groundwater_medium,lower_groundwater_medium,0.4777888851651524
matched_block_01,1,13,14,1,lower_groundwater_medium,lower_groundwater_high,0.0729667739273077
matched_block_01,1,14,15,1,lower_groundwater_medium,lower_groundwater_low,0.4376975869346172
matched_block_01,1,14,15,1,lower_groundwater_medium,lower_groundwater_medium,0.5101955091060344
matched_block_01,1,14,15,1,lower_groundwater_medium,lower_groundwater_high,0.052106903959348416
matched_block_01,1,15,16,1,lower_groundwater_medium,lower_groundwater_low,0.44985854551170285
matched_block_01,1,15,16,1,lower_groundwater_medium,lower_groundwater_medium,0.5104924929668779
matched_block_01,1,15,16,1,lower_groundwater_medium,lower_groundwater_high,0.03964896152141928
matched_block_01,1,16,17,1,lower_groundwater_medium,lower_groundwater_low,0.3811445856308024
matched_block_01,1,16,17,1,lower_groundwater_medium,lower_groundwater_medium,0.5795152419450103
matched_block_01,1,16,17,1,lower_groundwater_medium,lower_groundwater_high,0.03934017242418735
matched_block_01,1,17,18,1,lower_groundwater_medium,lower_groundwater_low,0.2527646392949433
matched_block_01,1,17,18,1,lower_groundwater_medium,lower_groundwater_medium,0.6974276022267086
matched_block_01,1,17,18,1,lower_groundwater_medium,lower_groundwater_high,0.04980775847834823
matched_block_01,1,18,19,1,lower_groundwater_medium,lower_groundwater_low,0.3299867411677032
matched_block_01,1,18,19,1,lower_groundwater_medium,lower_groundwater_medium,0.6351947418965967
matched_block_01,1,18,19,1,lower_groundwater_medium,lower_groundwater_high,0.03481851693570007
matched_block_01,1,19,20,1,lower_groundwater_medium,lower_groundwater_low,0.39661559536236557
matched_block_01,1,19,20,1,lower_groundwater_medium,lower_groundwater_medium,0.5709480110783034
matched_block_01,1,19,20,1,lower_groundwater_medium,lower_groundwater_high,0.03243639355933109
matched_block_01,1,20,21,1,lower_groundwater_medium,lower_groundwater_low,0.38878180899948017
matched_block_01,1,20,21,1,lower_groundwater_medium,lower_groundwater_medium,0.5817111277789173
matched_block_01,1,20,21,1,lower_groundwater_medium,lower_groundwater_high,0.029507063221602584
matched_block_01,1,21,22,1,lower_groundwater_medium,lower_groundwater_low,0.4350511988858493
matched_block_01,1,21,22,1,lower_groundwater_medium,lower_groundwater_medium,0.5410880348011368
matched_block_01,1,21,22,1,lower_groundwater_medium,lower_groundwater_high,0.023860766313013877
matched_block_01,1,22,23,1,lower_groundwater_medium,lower_groundwater_low,0.46798634592686195
matched_block_01,1,22,23,1,lower_groundwater_medium,lower_groundwater_medium,0.5026943750191395
matched_block_01,1,22,23,1,lower_groundwater_medium,lower_groundwater_high,0.029319279053998528
matched_block_01,1,23,24,1,lower_groundwater_medium,lower_groundwater_low,0.5126864357790074
matched_block_01,1,23,24,1,lower_groundwater_medium,lower_groundwater_medium,0.46377934522811864
matched_block_01,1,23,24,1,lower_groundwater_medium,lower_groundwater_high,0.023534218992873886
matched_block_01,1,24,25,1,lower_groundwater_medium,lower_groundwater_low,0.4584435691467886
matched_block_01,1,24,25,1,lower_groundwater_medium,lower_groundwater_medium,0.5000988041637026
matched_block_01,1,24,25,1,lower_groundwater_medium,lower_groundwater_high,0.04145762668950888
matched_block_01,1,25,26,1,lower_groundwater_medium,lower_groundwater_low,0.5228178696883107
matched_block_01,1,25,26,1,lower_groundwater_medium,lower_groundwater_medium,0.4511643722691765
