gauge_id,shift_distance,group
01013500,2.851700721612879,none
01022500,2.753054725329854,source
01030500,2.7018132700952946,none
01031500,2.5041177893012745,source
01047000,2.570504880512346,source
01052500,2.207377645786657,source
01054200,2.6004039825703327,source
01055000,2.6205421745857658,source
01057000,3.0778447656115495,source
01073000,2.4899108761386564,source
01078000,2.770742310167108,source
01118300,2.2569328281643406,low_shift
01121000,2.2134821968378913,low_shift
01123000,2.1043922812956133,source
01134500,1.9599759647180162,source
01137500,2.464073697040359,source
01139000,2.0490331061132836,source
01139800,1.8605818820014561,source
01142500,2.0846374684682223,source
01144000,1.8825506580766815,source
01162500,2.6369517929983326,source
01169000,1.695557562664653,source
01170100,1.8774672969807047,source
01181000,1.6717544780168099,source
01187300,1.6029608810686,source
01195100,2.1478665759099167,source
01333000,1.7423992889048938,source
01350000,1.8731679607648855,source
01350080,1.46639842661718,source
01350140,1.6899090990508248,source
01365000,1.6391763773922126,source
01411300,3.4021426676553013,source
01413500,1.3811545830343266,source
01414500,1.496607755872018,source
01415000,1.4149760623326573,source
01423000,1.261223539486266,source
01434025,1.680800941550419,source
01435000,1.5482074567430326,source
01439500,1.65106330219643,source
01440000,1.4536104990216274,source
01440400,1.584720861799776,source
01451800,1.9882056044670264,source
01466500,4.454279047268776,source
01484100,3.1053009063834955,source
01485500,3.5221453174625497,high_shift
01486000,3.068225790860909,high_shift
01487000,2.748755870424973,source
01491000,2.7792696340579717,source
01510000,1.880016667290018,source
01516500,1.5305932677036511,source
01518862,1.6287637430356277,source
01532000,1.419738934305164,source
01539000,1.2243174746888865,source
01542810,1.5100643895812929,source
01543000,1.4430386740108592,source
01543500,1.4657629658001288,source
01544500,1.4890887256548757,source
01545600,1.618885157620767,source
01547700,1.6083093996831066,source
01548500,1.5922720164990078,source
01549500,1.5377461209885182,source
01550000,1.5641723860544534,source
01552000,1.354337114515241,source
01552500,1.2979833250692334,source
01557500,1.4534548057776657,source
01567500,1.5628191342769906,source
01568000,1.4422728233809001,source
01580000,1.9848886970379105,source
01583500,1.7239733551523584,source
01586610,2.2313304942988976,source
01591400,2.235992059193748,source
01594950,1.661013308370149,source
01596500,1.173157437141352,source
01605500,1.979412759191353,source
01606500,1.825115183358545,source
01613050,1.8434352647318817,low_shift
01620500,1.9749009405245963,low_shift
01632000,1.5594095804315253,source
01632900,1.6595465555818856,source
01634500,1.5997530868631424,source
01638480,1.9936460061686805,source
01639500,2.8860871861336896,source
01644000,1.566537968053523,source
01658500,2.092261331783477,low_shift
01664000,1.4017096785900416,source
01666500,1.3808428939918025,source
01667500,1.3766306753714268,source
01669000,2.905599732999579,source
01669520,2.8982135069444896,source
02011400,2.0105010918280706,source
02011460,1.9560920876537444,low_shift
02013000,2.207516187376883,source
02014000,2.1943972739247526,source
02015700,2.0275247532473846,source
02016000,1.9339008431878126,source
02017500,2.1989530488669455,source
02018000,2.0906886532864584,source
02027000,1.6160758869410192,source
02027500,1.645618481014968,source
02028500,1.9728827568328449,source
02038850,1.8028516033893753,source
02046000,1.7844545628035504,source
02051000,1.7807620913561333,low_shift
02051500,1.8113185394173328,source
02053200,2.7037836369083217,source
02053800,1.5145240652289735,source
02055100,1.6775073231758026,source
02056900,1.45965640191248,source
02059500,1.3886107711886475,source
02064000,1.7199427561041924,source
02065500,2.2200453878819175,source
02069700,1.4974970570338206,source
02070000,2.0561685858055228,source
02074500,1.6942109265832612,source
02077200,1.8108929214544165,source
02081500,1.671040528761407,source
02082950,1.7343003369192265,source
02092500,2.54467921672492,source
02096846,1.8406797621690192,source
02102908,2.9942093256989466,source
02108000,2.2886340995817083,source
02111180,1.7459596570357303,source
02111500,1.4050237369821927,source
02112120,1.330913613993537,source
02112360,1.3776639563807045,source
02118500,1.3144266658699328,source
02125000,1.9341604574541227,source
02128000,1.6444670771512613,source
02137727,1.8566706987866666,source
02140991,1.6846977808330732,source
02143000,1.5737599457173934,source
02143040,1.4599148696019595,source
02149000,1.4322856934409414,source
02152100,1.3198676714459474,source
