block_index,block_id,trial_index,day_index,day_number,true_parameter_id,true_candidate_probability,top_ranked_parameter_id,probability_candidate_1_shared_limits,probability_candidate_2_shared_limits,probability_candidate_3_shared_limits
0,formal_parameter_block_01,0,0,1,candidate_2_shared_limits,0.9999999999988456,candidate_2_shared_limits,1.1544512252390074e-12,0.9999999999988456,0.0
0,formal_parameter_block_01,0,1,2,candidate_2_shared_limits,0.9999999999999987,candidate_2_shared_limits,1.3868541970832074e-15,0.9999999999999987,0.0
0,formal_parameter_block_01,0,2,3,candidate_2_shared_limits,1.0,candidate_2_shared_limits,2.029194119364147e-18,1.0,0.0
0,formal_parameter_block_01,0,3,4,candidate_2_shared_limits,0.9999999999999993,candidate_2_shared_limits,7.262065219897992e-16,0.9999999999999993,0.0
0,formal_parameter_block_01,0,4,5,candidate_2_shared_limits,1.0,candidate_2_shared_limits,5.4286471497857524e-17,1.0,0.0
0,formal_parameter_block_01,0,5,6,candidate_2_shared_limits,1.0,candidate_2_shared_limits,9.226551715554197e-17,1.0,0.0
0,formal_parameter_block_01,0,6,7,candidate_2_shared_limits,1.0,candidate_2_shared_limits,3.959074304633358e-28,1.0,0.0
0,formal_parameter_block_01,0,7,8,candidate_2_shared_limits,0.9999999999999999,candidate_2_shared_limits,1.409289070850736e-16,0.9999999999999999,0.0
0,formal_parameter_block_01,0,8,9,candidate_2_shared_limits,1.0,candidate_2_shared_limits,6.525277396201861e-22,1.0,0.0
0,formal_parameter_block_01,0,9,10,candidate_2_shared_limits,1.0,candidate_2_shared_limits,7.193907397897287e-17,1.0,0.0
0,formal_parameter_block_01,0,10,11,candidate_2_shared_limits,1.0,candidate_2_shared_limits,6.976294209993201e-22,1.0,0.0
0,formal_parameter_block_01,0,11,12,candidate_2_shared_limits,0.9999999999999938,candidate_2_shared_limits,6.275310946216253e-15,0.9999999999999938,0.0
0,formal_parameter_block_01,0,12,13,candidate_2_shared_limits,1.0,candidate_2_shared_limits,2.880224487938901e-23,1.0,0.0
0,formal_parameter_block_01,0,13,14,candidate_2_shared_limits,1.0,candidate_2_shared_limits,4.762746468132833e-23,1.0,0.0
0,formal_parameter_block_01,0,14,15,candidate_2_shared_limits,1.0,candidate_2_shared_limits,6.713225733228244e-21,1.0,0.0
0,formal_parameter_block_01,0,15,16,candidate_2_shared_limits,1.0,candidate_2_shared_limits,8.23115381175193e-22,1.0,0.0
0,formal_parameter_block_01,0,16,17,candidate_2_shared_limits,1.0,candidate_2_shared_limits,1.0252467728079748e-28,1.0,0.0
0,formal_parameter_block_01,0,17,18,candidate_2_shared_limits,1.0,candidate_2_shared_limits,3.1751696196328796e-34,1.0,0.0
0,formal_parameter_block_01,0,18,19,candidate_2_shared_limits,1.0,candidate_2_shared_limits,1.8587762513554947e-28,1.0,0.0
0,formal_parameter_block_01,0,19,20,candidate_2_shared_limits,1.0,candidate_2_shared_limits,2.8670686425829476e-28,1.0,0.0
0,formal_parameter_block_01,0,20,21,candidate_2_shared_limits,1.0,candidate_2_shared_limits,1.240005792884366e-22,1.0,0.0
0,formal_parameter_block_01,0,21,22,candidate_2_shared_limits,1.0,candidate_2_shared_limits,8.056166383889384e-19,1.0,0.0
0,formal_parameter_block_01,0,22,23,candidate_2_shared_limits,1.0,candidate_2_shared_limits,6.462915457080823e-24,1.0,0.0
0,formal_parameter_block_01,0,23,24,candidate_2_shared_limits,1.0,candidate_2_shared_limits,2.5205376690945884e-25,1.0,0.0
0,formal_parameter_block_01,0,24,25,candidate_2_shared_limits,1.0,candidate_2_shared_limits,2.9461545728715038e-18,1.0,0.0
0,formal_parameter_block_01,0,25,26,candidate_2_shared_limits,1.0,candidate_2_shared_limits,4.321641396337006e-27,1.0,0.0
0,formal_parameter_block_01,0,26,27,candidate_2_shared_limits,1.0,candidate_2_shared_limits,9.493925159672266e-34,1.0,0.0
0,formal_parameter_block_01,0,27,28,candidate_2_shared_limits,1.0,candidate_2_shared_limits,9.846300413388636e-30,1.0,0.0
0,formal_parameter_block_01,0,28,29,candidate_2_shared_limits,1.0,candidate_2_shared_limits,1.2109862172242098e-19,1.0,0.0
0,formal_parameter_block_01,0,29,30,candidate_2_shared_limits,1.0,candidate_2_shared_limits,1.1033454789395075e-27,1.0,0.0
0,formal_parameter_block_01,0,30,31,candidate_2_shared_limits,1.0,candidate_2_shared_limits,3.0700978561734096e-26,1.0,0.0
0,formal_parameter_block_01,0,31,32,candidate_2_shared_limits,1.0,candidate_2_shared_limits,1.0022265028423834e-26,1.0,0.0
0,formal_parameter_block_01,0,32,33,candidate_2_shared_limits,1.0,candidate_2_shared_limits,3.079098345512648e-25,1.0,0.0
0,formal_parameter_block_01,0,33,34,candidate_2_shared_limits,1.0,candidate_2_shared_limits,1.521343427061829e-32,1.0,0.0
0,formal_parameter_block_01,0,34,35,candidate_2_shared_limits,1.0,candidate_2_shared_limits,2.101360433915244e-27,1.0,0.0
0,formal_parameter_block_01,0,35,36,candidate_2_shared_limits,1.0,candidate_2_shared_limits,3.976449623455973e-30,1.0,0.0
0,formal_parameter_block_01,0,36,37,candidate_2_shared_limits,1.0,candidate_2_shared_limits,2.2330168390369975e-17,1.0,0.0
0,formal_parameter_block_01,0,37,38,candidate_2_shared_limits,1.0,candidate_2_shared_limits,1.1636838671725144e-23,1.0,0.0
0,formal_parameter_block_01,0,38,39,candidate_2_shared_limits,1.0,candidate_2_shared_limits,4.511162683462096e-32,1.0,0.0
0,formal_parameter_block_01,0,39,40,candidate_2_shared_limits,1.0,candidate_2_shared_limits,7.573635368260972e-28,1.0,0.0
0,formal_parameter_block_01,0,40,41,candidate_2_shared_limits,1.0,candidate_2_shared_limits,2.4566841950302986e-29,1.0,0.0
0,formal_parameter_block_01,0,41,42,candidate_2_shared_limits,1.0,candidate_2_shared_limits,4.3812038680677553e-26,1.0,0.0
0,formal_parameter_block_01,0,42,43,candidate_2_shared_limits,1.0,candidate_2_shared_limits,2.4774979799181857e-26,1.0,0.0
0,formal_parameter_block_01,0,43,44,candidate_2_shared_limits,1.0,candidate_2_shared_limits,5.370319279391908e-23,1.0,0.0
0,formal_parameter_block_01,0,44,45,candidate_2_shared_limits,1.0,candidate_2_shared_limits,1.33528415484171e-29,1.0,0.0
0,formal_parameter_block_01,0,45,46,candidate_2_shared_limits,1.0,candidate_2_shared_limits,4.627100882194547e-29,1.0,0.0
0,formal_parameter_block_01,0,46,47,candidate_2_shared_limits,1.0,candidate_2_shared_limits,1.0430806862461456e-40,1.0,0.0
0,formal_parameter_block_01,0,47,48,candidate_2_shared_limits,1.0,candidate_2_shared_limits,1.6443745520309719e-28,1.0,0.0
0,formal_parameter_block_01,0,48,49,candidate_2_shared_limits,1.0,candidate_2_shared_limits,4.727303073392192e-21,1.0,0.0
0,formal_parameter_block_01,0,49,50,candidate_2_shared_limits,1.0,candidate_2_shared_limits,1.610138349169777e-51,1.0,0.0
0,formal_parameter_block_01,0,50,51,candidate_2_shared_limits,1.0,candidate_2_shared_limits,2.9549995711298853e-28,1.0,0.0
0,formal_parameter_block_01,0,51,52,candidate_2_shared_limits,1.0,candidate_2_shared_limits,8.989480000736057e-26,1.0,0.0
0,formal_parameter_block_01,0,52,53,candidate_2_shared_limits,1.0,candidate_2_shared_limits,1.7378646876769107e-32,1.0,0.0
0,formal_parameter_block_01,0,53,54,candidate_2_shared_limits,1.0,candidate_2_shared_limits,6.041888544079943e-32,1.0,0.0
0,formal_parameter_block_01,0,54,55,candidate_2_shared_limits,1.0,candidate_2_shared_limits,1.1290869994493532e-43,1.0,0.0
0,formal_parameter_block_01,0,55,56,candidate_2_shared_limits,1.0,candidate_2_shared_limits,7.476035360006584e-22,1.0,0.0
0,formal_parameter_block_01,0,56,57,candidate_2_shared_limits,1.0,candidate_2_shared_limits,5.336818382654494e-28,1.0,0.0
0,formal_parameter_block_01,0,57,58,candidate_2_shared_limits,1.0,candidate_2_shared_limits,1.975403601417032e-40,1.0,0.0
0,formal_parameter_block_01,0,58,59,candidate_2_shared_limits,1.0,candidate_2_shared_limits,9.502370842840044e-40,1.0,0.0
0,formal_parameter_block_01,0,59,60,candidate_2_shared_limits,1.0,candidate_2_shared_limits,4.542483085489885e-30,1.0,0.0
0,formal_parameter_block_01,0,60,61,candidate_2_shared_limits,1.0,candidate_2_shared_limits,2.994640874379133e-26,1.0,0.0
0,formal_parameter_block_01,0,61,62,candidate_2_shared_limits,1.0,candidate_2_shared_limits,3.8034615398449016e-28,1.0,0.0
0,formal_parameter_block_01,0,62,63,candidate_2_shared_limits,1.0,candidate_2_shared_limits,3.8556348659971783e-29,1.0,0.0
0,formal_parameter_block_01,0,63,64,candidate_2_shared_limits,1.0,candidate_2_shared_limits,5.230129889801974e-36,1.0,0.0
0,formal_parameter_block_01,0,64,65,candidate_2_shared_limits,1.0,candidate_2_shared_limits,1.728751787655159e-21,1.0,0.0
0,formal_parameter_block_01,0,65,66,candidate_2_shared_limits,1.0,candidate_2_shared_limits,2.747259691080891e-28,1.0,0.0
0,formal_parameter_block_01,0,66,67,candidate_2_shared_limits,1.0,candidate_2_shared_limits,8.771214462711907e-38,1.0,0.0
0,formal_parameter_block_01,0,67,68,candidate_2_shared_limits,1.0,candidate_2_shared_limits,2.497562283529981e-48,1.0,0.0
0,formal_parameter_block_01,0,68,69,candidate_2_shared_limits,1.0,candidate_2_shared_limits,2.988848405597129e-31,1.0,0.0
0,formal_parameter_block_01,0,69,70,candidate_2_shared_limits,1.0,candidate_2_shared_limits,4.4945428936456663e-35,1.0,0.0
0,formal_parameter_block_01,0,70,71,candidate_2_shared_limits,1.0,candidate_2_shared_limits,2.560686025262356e-32,1.0,0.0
0,formal_parameter_block_01,0,71,72,candidate_2_shared_limits,1.0,candidate_2_shared_limits,1.0202346840867724e-24,1.0,0.0
0,formal_parameter_block_01,0,72,73,candidate_2_shared_limits,1.0,candidate_2_shared_limits,2.2111664151319736e-28,1.0,0.0
0,formal_parameter_block_01,0,73,74,candidate_2_shared_limits,1.0,candidate_2_shared_limits,2.3836859532490338e-29,1.0,0.0
0,formal_parameter_block_01,0,74,75,candidate_2_shared_limits,1.0,candidate_2_shared_limits,1.712417970829907e-29,1.0,0.0
