block_id,trial_index,day_number,candidate_1_shared_limits,candidate_2_shared_limits,candidate_3_shared_limits
formal_joint_block_01,0,1,9.448149450146159e-17,0.9999999999999999,0.0
formal_joint_block_01,0,2,2.6608684219125023e-08,0.9999999733913159,7.941896636818754e-21
formal_joint_block_01,0,3,0.00027175888970109636,0.9997282411101727,1.2633140260670822e-13
formal_joint_block_01,0,4,1.067240991796373e-09,0.9999999988957613,3.6997799762649556e-11
formal_joint_block_01,0,5,1.318919192218941e-19,0.9999999999804768,1.952316061003118e-11
formal_joint_block_01,0,6,1.2283592838271223e-05,0.9999877164071618,1.391870107925212e-17
formal_joint_block_01,0,7,2.0404124115655244e-08,0.9999999795956586,2.172409457855619e-13
formal_joint_block_01,0,8,1.6904727392159288e-39,0.9999999999252902,7.470962758200426e-11
formal_joint_block_01,0,9,0.0015299049517669167,0.9984700950482288,4.175032147019039e-15
formal_joint_block_01,0,10,0.013475462296127047,0.9865245377021497,1.7233242024129347e-12
formal_joint_block_01,0,11,6.246380871702215e-09,0.999999993581136,1.7248312057945258e-10
formal_joint_block_01,0,12,4.183985202208092e-12,0.9999999999948235,9.92440580881485e-13
formal_joint_block_01,0,13,1.1231931831649022e-09,0.9999999988767667,4.017882121302541e-14
formal_joint_block_01,0,14,9.270197739436038e-10,0.9999999990728584,1.2182610654176408e-13
formal_joint_block_01,0,15,7.484643070846017e-13,0.9999999999988283,4.2327849191681825e-13
formal_joint_block_01,0,16,1.0144710161986326e-14,0.9999999999999681,2.1723164446783954e-14
formal_joint_block_01,0,17,4.501252908435981e-11,0.9999999999549875,1.5511075274091495e-16
formal_joint_block_01,0,18,2.2900110183997735e-10,0.9999999997709975,1.4657762499879129e-15
formal_joint_block_01,0,19,1.72667615216193e-11,0.999999999982703,3.043386087552748e-14
formal_joint_block_01,0,20,2.8189186358077867e-12,0.9999999999971801,9.059928258638254e-16
formal_joint_block_01,0,21,4.528885489082324e-13,0.999999999999547,1.3825383637879308e-17
formal_joint_block_01,0,22,1.5497556930801364e-08,0.999999984502443,5.30039495142998e-19
formal_joint_block_01,0,23,0.0007391538249771137,0.9992608461750221,8.196540524830914e-16
formal_joint_block_01,0,24,2.09593713689982e-23,0.9999999995851311,4.1486905239464335e-10
formal_joint_block_01,0,25,0.1220797076807417,0.8779202923192526,5.756187017919625e-15
formal_joint_block_01,0,26,3.45112844976403e-06,0.9999964323680381,1.1650351215963804e-07
formal_joint_block_01,0,27,2.6007281036982466e-14,0.999999999999619,3.5495130678161724e-13
formal_joint_block_01,0,28,1.4918158338473743e-06,0.9999985081841658,2.7636954225854755e-16
