basin_id,rmin_tertile,initial_half_capacity_overflow,cell_size,within_cell_index_zero_based,target_fraction,r_min,state_SM,fc_member2,predicted_identifiable
10244950,1,false,77,25,0.333333333333,0.0217734184664167,66.333420087060674,147.82035342633591,false
09210500,1,false,77,51,0.666666666667,0.51113495693550515,155.6370221223919,457.90368750275678,false
14154500,1,true,100,33,0.333333333333,1.0072097673742266e-05,1850.3765078295496,1249.9995469917901,false
05408000,1,true,100,66,0.666666666667,0.55643145911657577,186.99830943472449,182.69209348749663,false
03604000,2,false,31,10,0.333333333333,3.4187244922296949,47.761836462146498,122.03340089841932,true
02465493,2,false,31,20,0.666666666667,5.8426766625007458,117.5110814992954,160.39040453993937,true
04127918,2,true,146,48,0.333333333333,3.7497789197523739,453.1129799543408,383.00503757148994,true
01605500,2,true,146,97,0.666666666667,6.1550323570575669,186.45168222038129,132.69932043602699,true
11266500,3,false,9,3,0.333333333333,11.068507482225524,34.015498129368403,187.51513530100755,true
11481200,3,false,9,5,0.666666666667,15.791831895764764,164.75540200139108,271.69528559784044,true
05488200,3,true,168,56,0.333333333333,12.794917585977936,474.46457511015865,267.07311623614305,true
04015330,3,true,168,111,0.666666666667,18.659670768628818,321.31554480961972,175.94788626940203,true
