basin_id,n_days,first_date,last_date,finite_prcp,finite_ep,finite_tmean,all_required_forcing_finite,finite_observation_days_not_used_by_synthetic_truth,area_km2,forcing_file_sha256
09306242,2555,1989-10-01,1996-09-28,True,True,True,True,2555,81.99,8eb9b4eb7226c75bb875d8fd3b0f17e3b8012ce66f27d580d29f8e0c4e180ff7
06352000,2555,1989-10-01,1996-09-28,True,True,True,True,2555,1441.83,c38364bed185ab579fc64f8c1531f7317b9c6751bd7e34359907d5599b82cb76
04233000,2555,1989-10-01,1996-09-28,True,True,True,True,2555,91.9,4515567a555bb9d4dcad3492758102f823fda181cf8cac87bf599aead51990a6
04185000,2555,1989-10-01,1996-09-28,True,True,True,True,2555,1064.0,aad9e8f70cbc7315b98141e7334e43cb2d2c89573d98e3afeab0c1523e4e03ff
01466500,2555,1989-10-01,1996-09-28,True,True,True,True,2555,5.38,4f5c83c7327606ba8eb468bfb4255969032c7e94a1b2cba571f0bcf120258cbc
04122500,2555,1989-10-01,1996-09-28,True,True,True,True,2555,1769.19,2c2604c99bef00af37ea0531f356d9661c7aeb86e1a308115161d7d81f008982
03173000,2555,1989-10-01,1996-09-28,True,True,True,True,2555,773.32,bc98557d3e85675e10c2d38513f97703eadb9c24bfa2762a798b82301083b8b7
02374500,2555,1989-10-01,1996-09-28,True,True,True,True,2555,445.72,84eb06fcd2ee6d25faddd69af24702222f73236b50771ef29a330c6e6a0e3aaf
02464000,2555,1989-10-01,1996-09-28,True,True,True,True,2555,578.94,404b18d5f0a1534d5c785e988f56c8bffaf915065f607f13bf5985e9c42fe331
02177000,2555,1989-10-01,1996-09-28,True,True,True,True,2555,526.77,ab0ef76047e0deb24a1d4bc10802386c02a7b693b04f3f1e1a0e5dcbeeaf47fe
12041200,2555,1989-10-01,1996-09-28,True,True,True,True,2555,655.8,34fe99fd2101f6490b362aa81bbd14f57af1416778488df89dc3f3184c5745ef
