basin_id,n_days,first_date,last_date,finite_prcp,finite_ep,finite_tmean,all_required_forcing_finite
10244950,1260,1989-10-01,1993-03-13,True,True,True,True
09210500,1260,1989-10-01,1993-03-13,True,True,True,True
14154500,1260,1989-10-01,1993-03-13,True,True,True,True
05408000,1260,1989-10-01,1993-03-13,True,True,True,True
03604000,1260,1989-10-01,1993-03-13,True,True,True,True
02465493,1260,1989-10-01,1993-03-13,True,True,True,True
04127918,1260,1989-10-01,1993-03-13,True,True,True,True
01605500,1260,1989-10-01,1993-03-13,True,True,True,True
11266500,1260,1989-10-01,1993-03-13,True,True,True,True
11481200,1260,1989-10-01,1993-03-13,True,True,True,True
05488200,1260,1989-10-01,1993-03-13,True,True,True,True
04015330,1260,1989-10-01,1993-03-13,True,True,True,True
