basin_id,n_days,first_date,last_date,finite_prcp,finite_ep,finite_tmean,all_required_forcing_finite
08190500,1260,1989-10-01,1993-03-13,True,True,True,True
07299670,1260,1989-10-01,1993-03-13,True,True,True,True
08198500,1260,1989-10-01,1993-03-13,True,True,True,True
08195000,1260,1989-10-01,1993-03-13,True,True,True,True
08202700,1260,1989-10-01,1993-03-13,True,True,True,True
08164300,1260,1989-10-01,1993-03-13,True,True,True,True
08109700,1260,1989-10-01,1993-03-13,True,True,True,True
06350000,1260,1989-10-01,1993-03-13,True,True,True,True
06332515,1260,1989-10-01,1993-03-13,True,True,True,True
12377150,1260,1989-10-01,1993-03-13,True,True,True,True
07301410,1260,1989-10-01,1993-03-13,True,True,True,True
06632400,1260,1989-10-01,1993-03-13,True,True,True,True
01411300,1260,1989-10-01,1993-03-13,True,True,True,True
09512280,1260,1989-10-01,1993-03-13,True,True,True,True
11141280,1260,1989-10-01,1993-03-13,True,True,True,True
08171300,1260,1989-10-01,1993-03-13,True,True,True,True
09107000,1260,1989-10-01,1993-03-13,True,True,True,True
14303200,1260,1989-10-01,1993-03-13,True,True,True,True
11473900,1260,1989-10-01,1993-03-13,True,True,True,True
08380500,1260,1989-10-01,1993-03-13,True,True,True,True
09312600,1260,1989-10-01,1993-03-13,True,True,True,True
04127997,1260,1989-10-01,1993-03-13,True,True,True,True
06623800,1260,1989-10-01,1993-03-13,True,True,True,True
06404000,1260,1989-10-01,1993-03-13,True,True,True,True
09047700,1260,1989-10-01,1993-03-13,True,True,True,True
05413500,1260,1989-10-01,1993-03-13,True,True,True,True
08378500,1260,1989-10-01,1993-03-13,True,True,True,True
08050800,1260,1989-10-01,1993-03-13,True,True,True,True
04115265,1260,1989-10-01,1993-03-13,True,True,True,True
04105700,1260,1989-10-01,1993-03-13,True,True,True,True
14138900,1260,1989-10-01,1993-03-13,True,True,True,True
12035000,1260,1989-10-01,1993-03-13,True,True,True,True
12025700,1260,1989-10-01,1993-03-13,True,True,True,True
14158790,1260,1989-10-01,1993-03-13,True,True,True,True
14222500,1260,1989-10-01,1993-03-13,True,True,True,True
09510200,1260,1989-10-01,1993-03-13,True,True,True,True
13161500,1260,1989-10-01,1993-03-13,True,True,True,True
02430085,1260,1989-10-01,1993-03-13,True,True,True,True
11522500,1260,1989-10-01,1993-03-13,True,True,True,True
14306340,1260,1989-10-01,1993-03-13,True,True,True,True
11381500,1260,1989-10-01,1993-03-13,True,True,True,True
09505350,1260,1989-10-01,1993-03-13,True,True,True,True
03241500,1260,1989-10-01,1993-03-13,True,True,True,True
02017500,1260,1989-10-01,1993-03-13,True,True,True,True
05399500,1260,1989-10-01,1993-03-13,True,True,True,True
02349900,1260,1989-10-01,1993-03-13,True,True,True,True
02221525,1260,1989-10-01,1993-03-13,True,True,True,True
14316700,1260,1989-10-01,1993-03-13,True,True,True,True
06278300,1260,1989-10-01,1993-03-13,True,True,True,True
08271000,1260,1989-10-01,1993-03-13,True,True,True,True
07315200,1260,1989-10-01,1993-03-13,True,True,True,True
03049800,1260,1989-10-01,1993-03-13,True,True,True,True
02027000,1260,1989-10-01,1993-03-13,True,True,True,True
07145700,1260,1989-10-01,1993-03-13,True,True,True,True
03473000,1260,1989-10-01,1993-03-13,True,True,True,True
12178100,1260,1989-10-01,1993-03-13,True,True,True,True
01667500,1260,1989-10-01,1993-03-13,True,True,True,True
14137000,1260,1989-10-01,1993-03-13,True,True,True,True
01552500,1260,1989-10-01,1993-03-13,True,True,True,True
02152100,1260,1989-10-01,1993-03-13,True,True,True,True
01435000,1260,1989-10-01,1993-03-13,True,True,True,True
04233000,1260,1989-10-01,1993-03-13,True,True,True,True
02014000,1260,1989-10-01,1993-03-13,True,True,True,True
01510000,1260,1989-10-01,1993-03-13,True,True,True,True
02193340,1260,1989-10-01,1993-03-13,True,True,True,True
11148900,1260,1989-10-01,1993-03-13,True,True,True,True
11264500,1260,1989-10-01,1993-03-13,True,True,True,True
11266500,1260,1989-10-01,1993-03-13,True,True,True,True
11482500,1260,1989-10-01,1993-03-13,True,True,True,True
11481200,1260,1989-10-01,1993-03-13,True,True,True,True
11476600,1260,1989-10-01,1993-03-13,True,True,True,True
03384450,1260,1989-10-01,1993-03-13,True,True,True,True
11451100,1260,1989-10-01,1993-03-13,True,True,True,True
01144000,1260,1989-10-01,1993-03-13,True,True,True,True
02046000,1260,1989-10-01,1993-03-13,True,True,True,True
02028500,1260,1989-10-01,1993-03-13,True,True,True,True
02202600,1260,1989-10-01,1993-03-13,True,True,True,True
02371500,1260,1989-10-01,1993-03-13,True,True,True,True
05488200,1260,1989-10-01,1993-03-13,True,True,True,True
06892000,1260,1989-10-01,1993-03-13,True,True,True,True
08070200,1260,1989-10-01,1993-03-13,True,True,True,True
01568000,1260,1989-10-01,1993-03-13,True,True,True,True
02096846,1260,1989-10-01,1993-03-13,True,True,True,True
04196800,1260,1989-10-01,1993-03-13,True,True,True,True
04015330,1260,1989-10-01,1993-03-13,True,True,True,True
14187000,1260,1989-10-01,1993-03-13,True,True,True,True
02298123,1260,1989-10-01,1993-03-13,True,True,True,True
05501000,1260,1989-10-01,1993-03-13,True,True,True,True
04197170,1260,1989-10-01,1993-03-13,True,True,True,True
07184000,1260,1989-10-01,1993-03-13,True,True,True,True
