basin_id,proxy_tertile,within_tertile_position,source_global_rank,process_noise_observation_proxy,p_parPERC,p_parK2,sigma_obs
09306242,1,0,0,0.04739287504142162,0.0473881358329135,0.0009234644652006,0.02
06352000,1,6,6,0.228649663750755,0.2286267991655008,0.1991584872043829,0.02
04233000,1,12,12,0.29012950767987594,1.0426287558683307,0.0002262826102415,0.0718805223068552
04185000,1,18,18,0.39069529286874827,0.929729136026462,0.0001162300368201,0.0475983270676691
01466500,1,24,24,0.42531611852782364,1.6438721292948368,0.0001152710581443,0.0773089219330855
04122500,1,30,30,0.4599275645091945,2.512069200333051,0.003494421654021,0.1092485261616898
03173000,1,36,36,0.4793000806610823,1.7247224071301068,0.0002177046483817,0.0719755728547043
02374500,1,42,42,0.5275881062901868,3.2866107893741776,0.0002758939079171,0.1246024858655658
02464000,1,49,49,0.5543890054545231,1.815525257019112,0.0001001217776694,0.06550298821985
02177000,1,55,55,0.5740525045590099,8.950888441499327,0.0275630720276587,0.3118803082939424
12041200,1,61,61,0.5890828364616253,18.458813569218616,0.1029499660690621,0.6267593778591035
02481510,1,67,67,0.6169307430945312,3.053675154095981,0.0001873513814288,0.0990056203632003
02118500,1,73,73,0.6555830284341203,4.004167091345714,0.0003298245339983,0.1221681272314184
04057510,1,79,79,0.6709092042656487,1.776204547561711,0.0002792859031702,0.0529544734674916
02112120,1,85,85,0.6930974087521515,4.787792597447536,0.0002775012280781,0.138170229931424
04161580,1,91,91,0.7081057742990614,2.020228205328544,0.0001759987546695,0.0570657751516093
01047000,1,97,97,0.7254198793955448,3.806553577589416,0.0483352870321302,0.1049580904190958
02381600,1,103,103,0.7470259854850929,12.395772366566405,0.1158844710760339,0.3319031007751938
01022500,1,109,109,0.7748988030071721,5.238231096848383,0.0472820324665663,0.1352113319386332
04127918,1,115,115,0.8011577985817794,2.0375211974427847,0.0002571107304365,0.0508695033650075
12082500,1,121,121,0.8259048740404381,16.178086252773845,0.010069604582793,0.3918055142857143
06921070,1,127,127,0.8570450470747496,1.4711381937909296,0.000100000035662,0.034333908699252
02140991,1,134,134,0.8861431379569567,7.319650787453666,0.0157254491894664,0.1652189697120634
03180500,1,140,140,0.9244155780607405,5.275796779047183,0.1142873139513976,0.1141548136555961
02102908,1,146,146,0.9854602945636418,6.0483481941274535,0.0006404884517043,0.1227640141915864
01078000,1,152,152,1.0027946104636485,4.741852649275319,0.0648058569338077,0.0945822170277802
02065500,1,158,158,1.0446252935991516,3.768837356122378,0.0002037578533649,0.0721639480560614
02202600,1,164,164,1.0550362751705062,2.666360889249834,0.0001,0.0505504428675461
14187000,1,170,170,1.0818727621370905,10.115193208402877,0.0727519777056524,0.1870128385899814
02246000,1,176,176,1.1087945322788775,2.345313522623913,0.0001000000041826,0.0423080743138385
02298608,2,0,177,1.1152709381499044,2.336663132333868,0.0001000000000798,0.0419072485112377
05458000,2,6,183,1.15596611735123,1.811218632081716,0.0001572048577268,0.0313400149338277
02395120,2,12,189,1.181279989251844,6.191757060118709,0.0001755409018083,0.1048418045470777
08198500,2,18,195,1.1977034459455236,1.197583677597301,0.0001000000032115,0.02
02479155,2,24,201,1.2351556006236648,4.952408497083148,0.000224688403872,0.0801988636363636
02178400,2,30,207,1.2582217377704188,18.26121484218869,0.0275053069611657,0.2902992464304601
01333000,2,36,213,1.301142036350313,8.37198157399174,0.0746039130503855,0.1286995363766048
04196800,2,42,219,1.3215318470180657,1.5152645278533263,0.0001000021589153,0.0229342345453648
02111180,2,49,226,1.3498544160042139,11.302963443703376,0.0460793250688153,0.167486118506123
01510000,2,55,232,1.3844966398434584,9.595193785234626,0.10306162352121,0.1386229927674351
04296000,2,61,238,1.406897151347159,6.691287234191158,0.0613831008597657,0.0951307124656673
08082700,2,67,244,1.4702348098385383,1.470087788808191,0.0001000131841449,0.02
03049000,2,73,250,1.4900740651319506,5.868736175491869,0.1128040684217647,0.0787789444211116
14316700,2,79,256,1.5375891136682043,8.78150046999892,0.0622421582128364,0.11423570335091
01550000,2,85,262,1.5746078591931252,8.403065568999919,0.0937537380304664,0.1067428426261377
02082950,2,91,268,1.6012616622383244,3.272525083006101,0.0001265637517822,0.0408784203102961
05488200,2,97,274,1.6453383090978653,1.6451737780094604,0.0001278999299126,0.02
01451800,2,103,280,1.6995784404950796,8.264124382788234,0.1222687890476813,0.0972588339222614
02216180,2,109,286,1.7636298454005603,2.9239850787021417,0.0001000000019362,0.0331620323754937
01440400,2,115,292,1.8085485190507318,12.815243478178491,0.117878268419731,0.1417327207351178
01634500,2,121,298,1.8684212246058312,4.242182933221553,0.0002966752313378,0.0454138192287294
02051500,2,127,304,1.927530350628142,3.54801253381842,0.0001529068209264,0.0368177586774082
07208500,2,134,311,2.06640255096828,2.0661959141575315,0.0001000002163077,0.02
01350000,2,140,317,2.161091118101999,9.926068679172191,0.0567185344722867,0.0918708265987494
03237280,2,146,323,2.2254901674037515,4.461219230166223,0.137786882801044,0.0400960242792109
09508300,2,152,329,2.300946293477223,2.3007162026831693,0.0002294653204305,0.02
02349900,2,158,335,2.3628180785829587,4.233957329098345,0.0001262185890018,0.0358417839993489
12048000,2,164,341,2.4840726031924194,21.23119890218824,0.001883587213608,0.1709557294881608
01591400,2,170,347,2.5872779338353453,8.569167304184624,0.008108939724549,0.0662474191910644
06339100,2,176,353,2.710541375815223,2.710270326195662,0.4999999993527517,0.02
12488500,3,0,354,2.729735496214559,17.494628224193125,0.0186471474745548,0.1281910123312375
02196000,3,6,360,2.8731754140409005,4.2670521197857365,0.0001000000003309,0.0297056618242235
05393500,3,12,366,2.9978478570492957,5.988405927456883,0.1030107484762756,0.0399553620032661
01644000,3,18,372,3.074893021118946,7.814094730849911,0.0003022254671619,0.0508302315024966
13161500,3,24,378,3.200402004213502,3.200081969347617,0.0438484743624389,0.02
05408000,3,30,384,3.3858471358830022,8.411195892488612,0.0003242585673754,0.0496894085561342
01073000,3,36,390,3.472320663459573,18.997351910495,0.1019647108041759,0.1094325878594249
06892000,3,42,396,3.5949763475566243,3.5946168559140945,0.0001000891006024,0.02
11481200,3,49,403,3.827529875761455,12.659378450490724,0.1125920239863262,0.0661556925996205
11148900,3,55,409,4.202730054470057,4.20230978846986,0.1672926746951924,0.02
02212600,3,61,415,4.292824277796744,7.263410138927956,0.0001000382124169,0.0338431581187486
03384450,3,67,421,4.4361940693717425,4.435750457359202,0.000147798107582,0.02
04213075,3,73,427,4.7068185286739475,17.296535328023708,0.0007029789780538,0.0735030042918455
06910800,3,79,433,5.052128931799721,5.051623727327597,0.0001362921604566,0.02
08271000,3,85,439,5.612934556748225,21.95993309162224,0.0211915661249928,0.0782554260909298
07196900,3,91,445,5.837684661704244,12.421224484261929,0.0002421751920459,0.0425595674659144
08194200,3,97,451,6.326708005146682,6.326075344891735,0.0001000136596317,0.02
13011500,3,103,457,7.22322425026575,12.681811129906098,0.0523308091543233,0.0351175014848544
13023000,3,109,463,7.898044240705407,20.95220249703384,0.0109877898982547,0.0530619916862461
04059500,3,115,469,8.96867031026425,14.542191474023806,0.0781971914833743,0.0324321115867507
11264500,3,121,475,9.47517738725103,13.373446997938167,0.04056901468583,0.0282312064618146
06847900,3,127,481,10.220496765385315,10.21947473274464,0.4999999999999968,0.02
09512280,3,134,488,11.160126561790928,11.15901056773682,0.5,0.02
09066000,3,140,494,12.701503653266645,13.422199282935608,0.0467085657196575,0.0211369330453563
14096850,3,146,500,13.853622899816502,18.998146728203963,0.0154784548626257,0.0274297154449842
06278300,3,152,506,15.573284653614255,19.421132440383104,0.0704036609477385,0.0249440951571792
07299670,3,158,512,17.57860851765157,17.576850686100414,0.4999999999413156,0.02
08050800,3,164,518,21.044645905301177,21.042541475788564,0.0001000013358002,0.02
10343500,3,170,524,23.226956542622514,23.67557886029737,0.0171954773226104,0.0203883333333333
11124500,3,176,530,30.002998864494344,29.99999861461789,0.0001142688513779,0.02
